symbol,ann_return_pct,ann_vol_pct,sharpe,sortino,pct_anomalous
JNJ,53.90,18.77,2.66,4.96,5.6
INTC,185.26,77.03,2.35,4.19,5.6
GOOGL,73.41,29.98,2.31,4.54,4.8
AMD,150.29,68.79,2.13,3.59,5.6
CSCO,63.31,32.24,1.84,2.44,6.0
AAPL,44.58,24.13,1.68,2.53,6.4
BAC,32.03,21.70,1.29,1.81,5.6
ABBV,33.17,25.85,1.13,1.80,4.8
UNH,48.71,39.64,1.13,1.37,4.8
XOM,31.59,25.07,1.10,1.59,5.2
GE,34.78,31.71,0.97,1.41,4.0
JPM,22.47,22.18,0.83,1.16,5.2
WMT,21.50,24.34,0.72,1.03,4.8
TSLA,34.50,44.86,0.68,1.13,4.0
NVDA,28.26,35.81,0.68,1.10,4.8
AMZN,13.80,31.05,0.32,0.47,4.4
V,5.71,21.76,0.08,0.13,4.0
META,0.45,38.56,-0.09,-0.13,5.6
COST,-2.42,19.58,-0.33,-0.47,5.6
MSFT,-22.98,27.27,-0.99,-1.31,6.8
